group,source,factor_id,name,expression,adj_type
alpha158,qlib_alpha158,a158_imin30,Alpha158_最低位置30日,"IdxMin($low, 30)/30",前复权
alpha158,qlib_alpha158,a158_imin5,Alpha158_最低位置5日,"IdxMin($low, 5)/5",前复权
alpha158,qlib_alpha158,a158_imin60,Alpha158_最低位置60日,"IdxMin($low, 60)/60",前复权
alpha158,qlib_alpha158,a158_imxd10,Alpha158_极值距离10日,"(IdxMax($high, 10)-IdxMin($low, 10))/10",前复权
alpha158,qlib_alpha158,a158_imxd20,Alpha158_极值距离20日,"(IdxMax($high, 20)-IdxMin($low, 20))/20",前复权
alpha158,qlib_alpha158,a158_imxd30,Alpha158_极值距离30日,"(IdxMax($high, 30)-IdxMin($low, 30))/30",前复权
alpha158,qlib_alpha158,a158_imxd5,Alpha158_极值距离5日,"(IdxMax($high, 5)-IdxMin($low, 5))/5",前复权
alpha158,qlib_alpha158,a158_imxd60,Alpha158_极值距离60日,"(IdxMax($high, 60)-IdxMin($low, 60))/60",前复权
alpha158,qlib_alpha158,a158_klen,Alpha158_K线长度,($high-$low)/$open,前复权
alpha158,qlib_alpha158,a158_klow,Alpha158_下影线,"(Less($open, $close)-$low)/$open",前复权
alpha158,qlib_alpha158,a158_klow2,Alpha158_下影线比,"(Less($open, $close)-$low)/($high-$low+1e-12)",前复权
alpha158,qlib_alpha158,a158_kmid,Alpha158_K线中点,($close-$open)/$open,前复权
alpha158,qlib_alpha158,a158_kmid2,Alpha158_K线中点比,($close-$open)/($high-$low+1e-12),前复权
alpha158,qlib_alpha158,a158_ksft,Alpha158_K线偏移,(2*$close-$high-$low)/$open,前复权
alpha158,qlib_alpha158,a158_ksft2,Alpha158_K线偏移比,(2*$close-$high-$low)/($high-$low+1e-12),前复权
alpha158,qlib_alpha158,a158_kup,Alpha158_上影线,"($high-Greater($open, $close))/$open",前复权
alpha158,qlib_alpha158,a158_kup2,Alpha158_上影线比,"($high-Greater($open, $close))/($high-$low+1e-12)",前复权
alpha158,qlib_alpha158,a158_ma10,Alpha158_均线10日,"Mean($close, 10)/$close",前复权
alpha158,qlib_alpha158,a158_ma20,Alpha158_均线20日,"Mean($close, 20)/$close",前复权
alpha158,qlib_alpha158,a158_ma30,Alpha158_均线30日,"Mean($close, 30)/$close",前复权
alpha158,qlib_alpha158,a158_ma5,Alpha158_均线5日,"Mean($close, 5)/$close",前复权
alpha158,qlib_alpha158,a158_ma60,Alpha158_均线60日,"Mean($close, 60)/$close",前复权
alpha158,qlib_alpha158,a158_max10,Alpha158_最高价10日,"Max($high, 10)/$close",前复权
alpha158,qlib_alpha158,a158_max20,Alpha158_最高价20日,"Max($high, 20)/$close",前复权
alpha158,qlib_alpha158,a158_max30,Alpha158_最高价30日,"Max($high, 30)/$close",前复权
alpha158,qlib_alpha158,a158_max5,Alpha158_最高价5日,"Max($high, 5)/$close",前复权
alpha158,qlib_alpha158,a158_max60,Alpha158_最高价60日,"Max($high, 60)/$close",前复权
alpha158,qlib_alpha158,a158_min10,Alpha158_最低价10日,"Min($low, 10)/$close",前复权
alpha158,qlib_alpha158,a158_min20,Alpha158_最低价20日,"Min($low, 20)/$close",前复权
alpha158,qlib_alpha158,a158_min30,Alpha158_最低价30日,"Min($low, 30)/$close",前复权
alpha158,qlib_alpha158,a158_min5,Alpha158_最低价5日,"Min($low, 5)/$close",前复权
alpha158,qlib_alpha158,a158_min60,Alpha158_最低价60日,"Min($low, 60)/$close",前复权
alpha158,qlib_alpha158,a158_qtld10,Alpha158_下分位10日,"Quantile($close, 10, 0.2)/$close",前复权
alpha158,qlib_alpha158,a158_qtld20,Alpha158_下分位20日,"Quantile($close, 20, 0.2)/$close",前复权
alpha158,qlib_alpha158,a158_qtld30,Alpha158_下分位30日,"Quantile($close, 30, 0.2)/$close",前复权
alpha158,qlib_alpha158,a158_qtld5,Alpha158_下分位5日,"Quantile($close, 5, 0.2)/$close",前复权
alpha158,qlib_alpha158,a158_qtld60,Alpha158_下分位60日,"Quantile($close, 60, 0.2)/$close",前复权
alpha158,qlib_alpha158,a158_qtlu10,Alpha158_上分位10日,"Quantile($close, 10, 0.8)/$close",前复权
alpha158,qlib_alpha158,a158_qtlu20,Alpha158_上分位20日,"Quantile($close, 20, 0.8)/$close",前复权
alpha158,qlib_alpha158,a158_qtlu30,Alpha158_上分位30日,"Quantile($close, 30, 0.8)/$close",前复权
alpha158,qlib_alpha158,a158_qtlu5,Alpha158_上分位5日,"Quantile($close, 5, 0.8)/$close",前复权
alpha158,qlib_alpha158,a158_qtlu60,Alpha158_上分位60日,"Quantile($close, 60, 0.8)/$close",前复权
alpha158,qlib_alpha158,a158_rank10,Alpha158_时序排名10日,"Rank($close, 10)",前复权
alpha158,qlib_alpha158,a158_rank20,Alpha158_时序排名20日,"Rank($close, 20)",前复权
alpha158,qlib_alpha158,a158_rank30,Alpha158_时序排名30日,"Rank($close, 30)",前复权
alpha158,qlib_alpha158,a158_rank5,Alpha158_时序排名5日,"Rank($close, 5)",前复权
alpha158,qlib_alpha158,a158_rank60,Alpha158_时序排名60日,"Rank($close, 60)",前复权
alpha158,qlib_alpha158,a158_resi10,Alpha158_残差10日,"Resi($close, 10)/$close",前复权
alpha158,qlib_alpha158,a158_resi20,Alpha158_残差20日,"Resi($close, 20)/$close",前复权
alpha158,qlib_alpha158,a158_resi30,Alpha158_残差30日,"Resi($close, 30)/$close",前复权
alpha158,qlib_alpha158,a158_resi5,Alpha158_残差5日,"Resi($close, 5)/$close",前复权
alpha158,qlib_alpha158,a158_resi60,Alpha158_残差60日,"Resi($close, 60)/$close",前复权
alpha158,qlib_alpha158,a158_roc60,Alpha158_ROC60日,"Ref($close, 60)/$close",前复权
alpha158,qlib_alpha158,a158_rsqr10,Alpha158_R方10日,"Rsquare($close, 10)",前复权
alpha158,qlib_alpha158,a158_rsqr20,Alpha158_R方20日,"Rsquare($close, 20)",前复权
alpha158,qlib_alpha158,a158_rsqr30,Alpha158_R方30日,"Rsquare($close, 30)",前复权
alpha158,qlib_alpha158,a158_rsqr5,Alpha158_R方5日,"Rsquare($close, 5)",前复权
alpha158,qlib_alpha158,a158_rsqr60,Alpha158_R方60日,"Rsquare($close, 60)",前复权
alpha158,qlib_alpha158,a158_rsv10,Alpha158_RSV10日,"($close-Min($low, 10))/(Max($high, 10)-Min($low, 10)+1e-12)",前复权
alpha158,qlib_alpha158,a158_rsv20,Alpha158_RSV20日,"($close-Min($low, 20))/(Max($high, 20)-Min($low, 20)+1e-12)",前复权
alpha158,qlib_alpha158,a158_rsv30,Alpha158_RSV30日,"($close-Min($low, 30))/(Max($high, 30)-Min($low, 30)+1e-12)",前复权
alpha158,qlib_alpha158,a158_rsv5,Alpha158_RSV5日,"($close-Min($low, 5))/(Max($high, 5)-Min($low, 5)+1e-12)",前复权
alpha158,qlib_alpha158,a158_rsv60,Alpha158_RSV60日,"($close-Min($low, 60))/(Max($high, 60)-Min($low, 60)+1e-12)",前复权
alpha158,qlib_alpha158,a158_std10,Alpha158_波动率10日,"Std($close, 10)/$close",前复权
alpha158,qlib_alpha158,a158_std20,Alpha158_波动率20日,"Std($close, 20)/$close",前复权
alpha158,qlib_alpha158,a158_std30,Alpha158_波动率30日,"Std($close, 30)/$close",前复权
alpha158,qlib_alpha158,a158_std5,Alpha158_波动率5日,"Std($close, 5)/$close",前复权
alpha158,qlib_alpha158,a158_std60,Alpha158_波动率60日,"Std($close, 60)/$close",前复权
alpha158,qlib_alpha158,a158_sumd10,Alpha158_涨跌幅差10日,"(Sum(Greater($close-Ref($close, 1), 0), 10)-Sum(Greater(Ref($close, 1)-$close, 0), 10))/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sumd20,Alpha158_涨跌幅差20日,"(Sum(Greater($close-Ref($close, 1), 0), 20)-Sum(Greater(Ref($close, 1)-$close, 0), 20))/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sumd30,Alpha158_涨跌幅差30日,"(Sum(Greater($close-Ref($close, 1), 0), 30)-Sum(Greater(Ref($close, 1)-$close, 0), 30))/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sumd5,Alpha158_涨跌幅差5日,"(Sum(Greater($close-Ref($close, 1), 0), 5)-Sum(Greater(Ref($close, 1)-$close, 0), 5))/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sumd60,Alpha158_涨跌幅差60日,"(Sum(Greater($close-Ref($close, 1), 0), 60)-Sum(Greater(Ref($close, 1)-$close, 0), 60))/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sumn10,Alpha158_下跌幅度10日,"Sum(Greater(Ref($close, 1)-$close, 0), 10)/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sumn20,Alpha158_下跌幅度20日,"Sum(Greater(Ref($close, 1)-$close, 0), 20)/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sumn30,Alpha158_下跌幅度30日,"Sum(Greater(Ref($close, 1)-$close, 0), 30)/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sumn5,Alpha158_下跌幅度5日,"Sum(Greater(Ref($close, 1)-$close, 0), 5)/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sumn60,Alpha158_下跌幅度60日,"Sum(Greater(Ref($close, 1)-$close, 0), 60)/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sump10,Alpha158_上涨幅度10日,"Sum(Greater($close-Ref($close, 1), 0), 10)/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sump20,Alpha158_上涨幅度20日,"Sum(Greater($close-Ref($close, 1), 0), 20)/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sump30,Alpha158_上涨幅度30日,"Sum(Greater($close-Ref($close, 1), 0), 30)/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sump5,Alpha158_上涨幅度5日,"Sum(Greater($close-Ref($close, 1), 0), 5)/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12)",前复权
alpha158,qlib_alpha158,a158_sump60,Alpha158_上涨幅度60日,"Sum(Greater($close-Ref($close, 1), 0), 60)/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vma10,Alpha158_量均线10日,"Mean($vol, 10)/($vol+1e-12)",前复权
alpha158,qlib_alpha158,a158_vma20,Alpha158_量均线20日,"Mean($vol, 20)/($vol+1e-12)",前复权
alpha158,qlib_alpha158,a158_vma30,Alpha158_量均线30日,"Mean($vol, 30)/($vol+1e-12)",前复权
alpha158,qlib_alpha158,a158_vma5,Alpha158_量均线5日,"Mean($vol, 5)/($vol+1e-12)",前复权
alpha158,qlib_alpha158,a158_vma60,Alpha158_量均线60日,"Mean($vol, 60)/($vol+1e-12)",前复权
alpha158,qlib_alpha158,a158_vstd10,Alpha158_量波动10日,"Std($vol, 10)/($vol+1e-12)",前复权
alpha158,qlib_alpha158,a158_vstd20,Alpha158_量波动20日,"Std($vol, 20)/($vol+1e-12)",前复权
alpha158,qlib_alpha158,a158_vstd30,Alpha158_量波动30日,"Std($vol, 30)/($vol+1e-12)",前复权
alpha158,qlib_alpha158,a158_vstd5,Alpha158_量波动5日,"Std($vol, 5)/($vol+1e-12)",前复权
alpha158,qlib_alpha158,a158_vstd60,Alpha158_量波动60日,"Std($vol, 60)/($vol+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsumd10,Alpha158_量涨跌差10日,"(Sum(Greater($vol-Ref($vol, 1), 0), 10)-Sum(Greater(Ref($vol, 1)-$vol, 0), 10))/(Sum(Abs($vol-Ref($vol, 1)), 10)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsumd20,Alpha158_量涨跌差20日,"(Sum(Greater($vol-Ref($vol, 1), 0), 20)-Sum(Greater(Ref($vol, 1)-$vol, 0), 20))/(Sum(Abs($vol-Ref($vol, 1)), 20)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsumd30,Alpha158_量涨跌差30日,"(Sum(Greater($vol-Ref($vol, 1), 0), 30)-Sum(Greater(Ref($vol, 1)-$vol, 0), 30))/(Sum(Abs($vol-Ref($vol, 1)), 30)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsumd5,Alpha158_量涨跌差5日,"(Sum(Greater($vol-Ref($vol, 1), 0), 5)-Sum(Greater(Ref($vol, 1)-$vol, 0), 5))/(Sum(Abs($vol-Ref($vol, 1)), 5)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsumd60,Alpha158_量涨跌差60日,"(Sum(Greater($vol-Ref($vol, 1), 0), 60)-Sum(Greater(Ref($vol, 1)-$vol, 0), 60))/(Sum(Abs($vol-Ref($vol, 1)), 60)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsumn10,Alpha158_量减比例10日,"Sum(Greater(Ref($vol, 1)-$vol, 0), 10)/(Sum(Abs($vol-Ref($vol, 1)), 10)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsumn20,Alpha158_量减比例20日,"Sum(Greater(Ref($vol, 1)-$vol, 0), 20)/(Sum(Abs($vol-Ref($vol, 1)), 20)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsumn30,Alpha158_量减比例30日,"Sum(Greater(Ref($vol, 1)-$vol, 0), 30)/(Sum(Abs($vol-Ref($vol, 1)), 30)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsumn5,Alpha158_量减比例5日,"Sum(Greater(Ref($vol, 1)-$vol, 0), 5)/(Sum(Abs($vol-Ref($vol, 1)), 5)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsumn60,Alpha158_量减比例60日,"Sum(Greater(Ref($vol, 1)-$vol, 0), 60)/(Sum(Abs($vol-Ref($vol, 1)), 60)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsump10,Alpha158_量增比例10日,"Sum(Greater($vol-Ref($vol, 1), 0), 10)/(Sum(Abs($vol-Ref($vol, 1)), 10)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsump20,Alpha158_量增比例20日,"Sum(Greater($vol-Ref($vol, 1), 0), 20)/(Sum(Abs($vol-Ref($vol, 1)), 20)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsump30,Alpha158_量增比例30日,"Sum(Greater($vol-Ref($vol, 1), 0), 30)/(Sum(Abs($vol-Ref($vol, 1)), 30)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsump5,Alpha158_量增比例5日,"Sum(Greater($vol-Ref($vol, 1), 0), 5)/(Sum(Abs($vol-Ref($vol, 1)), 5)+1e-12)",前复权
alpha158,qlib_alpha158,a158_vsump60,Alpha158_量增比例60日,"Sum(Greater($vol-Ref($vol, 1), 0), 60)/(Sum(Abs($vol-Ref($vol, 1)), 60)+1e-12)",前复权
alpha158,qlib_alpha158,a158_wvma10,Alpha158_加权量波动10日,"Std(Abs($close/Ref($close, 1)-1)*$vol, 10)/(Mean(Abs($close/Ref($close, 1)-1)*$vol, 10)+1e-12)",前复权
alpha158,qlib_alpha158,a158_wvma20,Alpha158_加权量波动20日,"Std(Abs($close/Ref($close, 1)-1)*$vol, 20)/(Mean(Abs($close/Ref($close, 1)-1)*$vol, 20)+1e-12)",前复权
alpha158,qlib_alpha158,a158_wvma30,Alpha158_加权量波动30日,"Std(Abs($close/Ref($close, 1)-1)*$vol, 30)/(Mean(Abs($close/Ref($close, 1)-1)*$vol, 30)+1e-12)",前复权
alpha158,qlib_alpha158,a158_wvma5,Alpha158_加权量波动5日,"Std(Abs($close/Ref($close, 1)-1)*$vol, 5)/(Mean(Abs($close/Ref($close, 1)-1)*$vol, 5)+1e-12)",前复权
alpha158,qlib_alpha158,a158_wvma60,Alpha158_加权量波动60日,"Std(Abs($close/Ref($close, 1)-1)*$vol, 60)/(Mean(Abs($close/Ref($close, 1)-1)*$vol, 60)+1e-12)",前复权
alpha191,alpha191,a191_001,Alpha191_是短期量价相关性的反转效应,"(-1 * Corr(CSRank((Log($vol) - Ref(Log($vol), 1))), CSRank((($close - $open) / $open)), 6))",前复权
alpha191,alpha191,a191_002,Alpha191_空力量边际变化的短期反转因子,"-1 * ((($close-$low)-($high-$close))/($high-$low) - Ref((($close-$low)-($high-$close))/($high-$low), 1))",前复权
alpha191,alpha191,a191_003,Alpha191_短期累积多空动能指标,"Sum(If($close=Ref($close,1), 0, $close-If($close>Ref($close,1), Less($low,Ref($close,1)), Greater($high,Ref($close,1)))),6)",前复权
alpha191,alpha191,a191_004,Alpha191_归与成交量动量的复合反转因子,"If((((Sum($close,8)/8)+Std($close,8))<(Sum($close,2)/2)), (-1* 1), If(((Sum($close,2)/2)<((Sum($close,8)/8)-Std($close,8))), 1, If(((1<($vol/Mean($vol,20)))|(($vol/Mean($vol,20))==1)), 1, (-1* 1))))",前复权
alpha191,alpha191,a191_006,Alpha191_基于开盘情绪的短期动量反转因子,"(CSRank(Sign((((($open * 0.85)+($high * 0.15))) - Ref(((($open * 0.85)+($high * 0.15))), 4))))*-1)",前复权
alpha191,alpha191,a191_007,Alpha191_量价背离因子,"((CSRank(Greater((($amount / $vol)-$close),3))+CSRank(Less((($amount / $vol)-$close),3)))* CSRank(($vol - Ref($vol, 3))))",前复权
alpha191,alpha191,a191_008,Alpha191_短周期（4日）量价反转因子,"CSRank(((((($high + $low) / 2) * 0.2) + (($amount / $vol) * 0.8)) - Ref((((($high + $low) / 2) * 0.2) + (($amount / $vol) * 0.8)), 4)) * -1)",前复权
alpha191,alpha191,a191_009,Alpha191_动性与价格动量的价格冲击因子,"SMA((($high+$low)/2-(Ref($high,1)+Ref($low,1))/2)*($high-$low)/$vol,7,2)",前复权
alpha191,alpha191,a191_010,Alpha191_设计初衷：该因子试图在股,"(CSRank(Greater(If((($close/Ref($close, 1)-1) < 0), Std(($close/Ref($close, 1)-1), 20), $close)**2),5))",前复权
alpha191,alpha191,a191_011,Alpha191_“累积/派发线”的短期变体,"Sum((($close-$low)-($high-$close))/($high-$low) * $vol,6)",前复权
alpha191,alpha191,a191_012,Alpha191_量价反转因子,"(CSRank(($open - (Sum(($amount / $vol), 10) / 10)))) * (-1 * (CSRank(Abs(($close - ($amount / $vol))))))",前复权
alpha191,alpha191,a191_013,Alpha191_本质是一个日内量价分布因子,((($high * $low)**0.5)-($amount / $vol)),前复权
alpha191,alpha191,a191_014,Alpha191_经典的短周期动量指标,"$close-Ref($close,5)",前复权
alpha191,alpha191,a191_015,Alpha191_衡量的是股票的隔夜收益率,"$open/Ref($close,1)-1",前复权
alpha191,alpha191,a191_016,Alpha191_短期量价反转因子,"(-1 * Max(CSRank(Corr(CSRank($vol),CSRank(($amount / $vol)),5)),5))",前复权
alpha191,alpha191,a191_017,Alpha191_性数学变换的极端超跌反转因子,"CSRank((($amount / $vol)-Greater(($amount / $vol),15)))**($close - Ref($close, 5))",前复权
alpha191,alpha191,a191_018,Alpha191_经典的短周期动量/反转因子,"$close/Ref($close,5)",前复权
alpha191,alpha191,a191_019,Alpha191_日短期动量/反转因子,"If($close<Ref($close,5), ($close-Ref($close,5))/Ref($close,5), If($close=Ref($close,5), 0, ($close-Ref($close,5))/$close))",前复权
alpha191,alpha191,a191_020,Alpha191_经典的短周期收益率因子,"($close-Ref($close,6))/Ref($close,6)*100",前复权
alpha191,alpha191,a191_024,Alpha191_经过平滑处理的短期动量因子,"SMA($close-Ref($close,5),5,1)",前复权
alpha191,alpha191,a191_025,Alpha191_动量放大器的短期量价反转因子,"((-1*CSRank((($close - Ref($close, 7))*(1-CSRank(DecayLinear(($vol/Mean($vol,20)),9))))))*(1+CSRank(Sum(($close/Ref($close, 1)-1),250))))",前复权
alpha191,alpha191,a191_026,Alpha191_“长动量+短反转”复合因子,"((((Sum($close,7)/7)-$close))+((Corr(($amount / $vol),Ref($close,5),230))))",前复权
alpha191,alpha191,a191_027,Alpha191_经过平滑处理的短期趋势动量因子,"WMA(($close-Ref($close,3))/Ref($close,3)100+($close-Ref($close,6))/Ref($close,6)100,12)",前复权
alpha191,alpha191,a191_028,Alpha191_本质上是技术分析中经典,"3*SMA(($close-Min($low,9))/(Max($high,9)-Min($low,9))100,3,1)-2*SMA(SMA(($close-Min($low,9))/( Greater($high,9)-Max($low,9))100,3,1),3,1)",前复权
alpha191,alpha191,a191_029,Alpha191_量价结合动量因子,"($close-Ref($close,6))/Ref($close,6)*$vol",前复权
alpha191,alpha191,a191_032,Alpha191_基于量价相关性的短期反转因子,"(-1*Sum(CSRank(Corr(CSRank($high),CSRank($vol),3)),3))",前复权
alpha191,alpha191,a191_033,Alpha191_期反转与成交量确认的复合因子,"((((-1*Min($low,5))+Ref(Min($low,5),5))*CSRank(((Sum(($close/Ref($close, 1)-1),240)-Sum(($close/Ref($close, 1)-1),20))/220)))*Rank($vol,5))",前复权
alpha191,alpha191,a191_034,Alpha191_短期均值回归（反转）因子,"Mean($close,12)/$close",前复权
alpha191,alpha191,a191_035,Alpha191_短期反转因子,"(Less(CSRank(DecayLinear(($open - Ref($open, 1)),15)),CSRank(DecayLinear(Corr(($vol),(($open*0.65)+($open*0.35)),17),7)))*-1)",前复权
alpha191,alpha191,a191_036,Alpha191_量价相关性因子,"CSRank(Sum(Corr(CSRank($vol),CSRank(($amount / $vol))),6),2)",前复权
alpha191,alpha191,a191_037,Alpha191_短期动量反转因子,"(-1*CSRank(((Sum($open,5)*Sum(($close/Ref($close, 1)-1),5))-Ref((Sum($open,5)*Sum(($close/Ref($close, 1)-1),5)),10))))",前复权
alpha191,alpha191,a191_038,Alpha191_带有条件触发机制的短期反转因子,"If(((Sum($high,20)/20)<$high), (-1*($high - Ref($high, 2))), 0)",前复权
alpha191,alpha191,a191_040,Alpha191_基于“量价配合”原理,"Sum(If($close>Ref($close,1), $vol, 0),26)/Sum(If($close<=Ref($close,1), $vol, 0),26)*100",前复权
alpha191,alpha191,a191_041,Alpha191_短期极端动量反转因子,"(CSRank(Greater(((($amount / $vol)) - Ref((($amount / $vol)), 3)),5))*-1)",前复权
alpha191,alpha191,a191_043,Alpha191_OBV（能量潮指标,"Sum(If($close>Ref($close,1), $vol, If($close<Ref($close,1), -$vol, 0)),6)",前复权
alpha191,alpha191,a191_044,Alpha191_综合动量因子,"(Rank(DecayLinear(Corr((($low)),Mean($vol,10),7),6),4)+Rank(DecayLinear(((($amount / $vol)) - Ref((($amount / $vol)), 3)),10),15))",前复权
alpha191,alpha191,a191_045,Alpha191_复合因子,"(CSRank((((($close*0.6)+($open*0.4))) - Ref(((($close*0.6)+($open*0.4))), 1)))*CSRank(Corr(($amount / $vol),Mean($vol,150),15)))",前复权
alpha191,alpha191,a191_046,Alpha191_乖离率（偏离度）与均值回归因子,"(Mean($close,3)+Mean($close,6)+Mean($close,12)+Mean($close,24))/(4*$close)",前复权
alpha191,alpha191,a191_047,Alpha191_是平滑后的短周期威廉指标,"SMA((Max($high,6)-$close)/(Max($high,6)-Min($low,6))*100,9,1)",前复权
alpha191,alpha191,a191_049,Alpha191_空方动量（弱势）指标,"Sum(If(($high+$low)>=(Ref($high,1)+Ref($low,1)), 0, Greater(Abs($high-Ref($high,1)),Abs($low-Ref($low,1)))),12)/(Sum(If(($high+$low)>=(Ref($high,1)+Ref($low,1)), 0, Greater(Abs($high-Ref($high,1)),Abs($low-Ref($low,1)))),12)+Sum(If(($high+$low)<=(Ref($high,1)+Ref($low,1)), 0, Greater(Abs($high-Ref(HI GH,1)),Abs($low-Ref($low,1)))),12))",前复权
alpha191,alpha191,a191_050,Alpha191_动量/趋势强度指标,"Sum(If(($high+$low)<=(Ref($high,1)+Ref($low,1)), 0, Greater(Abs($high-Ref($high,1)),Abs($low-Ref($low,1)))),12)/(Sum(If(($high+$low)<=(Ref($high,1)+Ref($low,1)), 0, Greater(Abs($high-Ref($high,1)),Abs($low-Ref($low,1)))),12)+Sum(If(($high+$low)>=(Ref($high,1)+Ref($low,1)), 0, Greater(Abs($high-Ref($high,1)),Abs($low-Ref($low,1)))),12))-Sum(If(($high+$low)>=(Ref($high,1)+Ref($low,1)), 0, Greater(Abs($high-Ref($high,1)),Abs($low-Ref($low,1)))),12)/(Sum(If(($high+$low)>=(Ref($high,1)+Ref($low,1)), 0, Greater(Abs($high-Ref($high,1)),Abs($low-Ref($low,1)))),12)+Sum(If(($high+$low)<=(Ref($high,1)+DELA Y($low,1)), 0, Greater(Abs($high-Ref($high,1)),Abs($low-Ref($low,1)))),12))",前复权
alpha191,alpha191,a191_051,Alpha191_空力量对比的动量/趋势型因子,"Sum(If(($high+$low)<=(Ref($high,1)+Ref($low,1)), 0, Greater(Abs($high-Ref($high,1)),Abs($low-Ref($low,1)))),12)/(Sum(If(($high+$low)<=(Ref($high,1)+Ref($low,1)), 0, Greater(Abs($high-Ref($high,1)),Abs($low-Ref($low,1)))),12)+Sum(If(($high+$low)>=(Ref($high,1)+Ref($low,1)), 0, Greater(Abs($high-Ref(HI GH,1)),Abs($low-Ref($low,1)))),12))",前复权
alpha191,alpha191,a191_052,Alpha191_中间意愿指标,"Sum(Greater(0,$high-Ref(($high+$low+$close)/3,1)),26)/Sum(Greater(0,Ref(($high+$low+$close)/3,1)-L),26)*100",前复权
alpha191,alpha191,a191_054,Alpha191_短期日内超跌反转因子,"(-1*CSRank((Std(Abs($close-$open))+($close-$open))+Corr($close,$open,10)))",前复权
alpha191,alpha191,a191_055,Alpha191_旨在过滤掉日常K线中的价,"Sum(16($close-Ref($close,1)+($close-$open)/2+Ref($close,1)-Ref($open,1))/(If(Abs($high-Ref(CL OSE,1))>Abs($low-Ref($close,1))&Abs($high-Ref($close,1))>Abs($high-Ref($low,1)), Abs($high-Ref($close,1))+Abs($low-Ref($close,1))/2+Abs(Ref($close,1)-Ref($open,1))/4, If(Abs($low-Ref($close,1))>Abs($high-Ref($low,1))&Abs($low-Ref($close,1))>Abs($high-Ref($close,1)), Abs($low-Ref($close,1))+Abs($high-Ref($close,1))/2+Abs(Ref($close,1)-Ref($open,1))/4, Abs($high-Ref($low,1))+Abs(Ref($close,1)-Ref($open,1))/4)))*Greater(Abs($high-Ref($close,1)),Abs($low-Ref($close,1))),20)",前复权
alpha191,alpha191,a191_056,Alpha191_“底部量价蓄势”捕捉因子,"(CSRank(($open-Min($open,12)))<CSRank((CSRank(Corr(Sum((($high +$low)/2),19),Sum(Mean($vol,40),19),13))**5)))",前复权
alpha191,alpha191,a191_057,Alpha191_本质上是经典技术指标,"SMA(($close-Min($low,9))/(Max($high,9)-Min($low,9))*100,3,1)",前复权
alpha191,alpha191,a191_059,Alpha191_日威廉累积/派发指标,"Sum(If($close=Ref($close,1), 0, $close-If($close>Ref($close,1), Less($low,Ref($close,1)), Greater($high,Ref($close,1)))),20)",前复权
alpha191,alpha191,a191_060,Alpha191_是经典的“累积/派发线（,"Sum((($close-$low)-($high-$close))/($high-$low)*$vol,20)",前复权
alpha191,alpha191,a191_061,Alpha191_短期反转因子,"(Greater(CSRank(DecayLinear((($amount / $vol) - Ref(($amount / $vol), 1)),12)),CSRank(DecayLinear(CSRank(Corr(($low),Mean($vol,80),8)),17)))*-1)",前复权
alpha191,alpha191,a191_062,Alpha191_量价背离与反转因子,"(-1*Corr($high,CSRank($vol),5))",前复权
